Model,Publication date,Organization,Training compute (FLOP),Parameters,Mean Combined Energy (Wh)
Claude 3.5 Sonnet (Oct),2024-06-20,Anthropic,2.700000000000001e+25,,7.771587015310507
Mistral Large 2 (Azure),2024-07-24,Mistral AI,2.13e+25,123000000000.0,9.025191325375872
Mistral Large 2 (AWS),2024-07-24,Mistral AI,2.13e+25,123000000000.0,12.04129866815502
Llama 3.2 11B (Vision),2024-09-24,Meta AI,5.79e+23,10600000000.0,1.0866562486114923
Llama 3.2 1B,2024-09-24,Meta AI,6.642e+22,1230000000.0,0.5516386610406485
Llama 3.2 3B,2024-09-24,Meta AI,1.7334e+23,3210000000.0,0.7067753984251616
Llama 3.3 70B,2024-12-06,Meta AI,6.8649768e+24,70000000000.0,1.4471097702111486
Claude 3.7 Sonnet,2025-02-24,Anthropic,3.3499999999999998e+25,,5.671361748624589
Llama 4 Maverick,2025-04-05,Meta AI,2.244000000001e+24,400000000000.0,0.2714339741881528
Llama 4 Scout,2025-04-05,Meta AI,4.08e+24,109000000000.0,0.3780548506487936
Grok 4,2025-07-09,xAI,5.0000000000001e+26,3000000000000.0,17.64270425861727
GPT-5 (high),2025-08-07,OpenAI,6.6e+25,,25.595794854876875
GPT-5 (medium),2025-08-07,OpenAI,6.6e+25,,14.00206714869239
GPT-5 (low),2025-08-07,OpenAI,6.6e+25,,6.650824367502828
GPT-5 (minimal),2025-08-07,OpenAI,6.6e+25,,6.383128686707559
