Model,Query Length,tier,Mean Combined Energy (Wh)
Claude 3.7 Sonnet,300,short,0.950276007085052
Claude 3.7 Sonnet,1000,medium,2.9886172728329727
Claude 3.7 Sonnet,1500,long,5.671361748624589
Claude 4 Opus,300,short,1.3107267863874503
Claude 4 Opus,1000,medium,5.129127372068877
Claude 4 Opus,1500,long,11.158905001508062
DeepSeek R1 (DeepSeek) [128k],300,short,19.250694828027115
DeepSeek R1 (DeepSeek) [128k],1000,medium,24.595769199142456
DeepSeek R1 (DeepSeek) [128k],1500,long,29.078235636566216
GPT-4o (Aug),300,short,0.41865422632724
GPT-4o (Aug),1000,medium,1.3541448845606838
GPT-4o (Aug),1500,long,2.2214537874564177
GPT-5 (high),300,short,13.682461529260229
GPT-5 (high),1000,medium,16.451551397964096
GPT-5 (high),1500,long,25.595794854876875
GPT-5 (minimal),300,short,0.7893588751926263
GPT-5 (minimal),1000,medium,2.102736250241539
GPT-5 (minimal),1500,long,6.383128686707559
GPT-5 nano (minimal),300,short,0.2098988943412379
GPT-5 nano (minimal),1000,medium,0.4730530593051387
GPT-5 nano (minimal),1500,long,0.6787697519699873
Llama 3.1 405B Standard,300,short,2.225921457260688
Llama 3.1 405B Standard,1000,medium,9.042499255370393
Llama 3.1 405B Standard,1500,long,25.20171891021811
Llama 3.1 8B,300,short,0.0516705107827739
Llama 3.1 8B,1000,medium,0.1723407651241004
Llama 3.1 8B,1500,long,0.4430452862834718
Llama 3.2 1B,300,short,0.1091441766023734
Llama 3.2 1B,1000,medium,0.3416356530992706
Llama 3.2 1B,1500,long,0.5516386610406485
Mistral Small (Feb),300,short,0.261081368141207
Mistral Small (Feb),1000,medium,0.8387754322551415
Mistral Small (Feb),1500,long,1.3645951776506828
o3-pro,300,short,15.955370609058397
o3-pro,1000,medium,40.92591714185654
o3-pro,1500,long,49.93231226190828
